Unnamed: 0,Ratings,Full_review,word_count,cleaned_length
0,1.0,bought ultra laptop first sale st aug extremely disappointed laptop well support laptop turn anymore day cannot even return th day laptop went continuous restart loop fixed hard shut time watching youtube video and working okay day now even start the charge light also come nothing happens pressing power button nothing happens connect charger dead need take service center day purchase don buy this great spec useless start update gave service saying battery motherboard defective need replace shocked brand new laptop day battery motherboard gone how happen hardly even used and also say since new laptop part taking time come service center better buy reliable dell lenovo laptop even bit expensive update service center day now everytime call say get fixed day probing said hardware problem the battery motherboard need replaced wow can understand battery motherboard problem day purchase clearly manufacturing defect xiaomi they say ordered part received since new model unbelievable just lost lot money peace laptop don trust xiaomi now they called service center asked collect replacement laptop got brand new laptop unopened opened checked service center itself seems fix old laptop send back got lucky else would got repaired one anyway happy got new replacement laptop currently working well,391,202
1,5.0,pro build quality display best ever seen amongst laptop keyboard great typing experience fingerprint lightening fast con sound speaker downwards would better surface unfortunately never seen good speaker mid range laptop mac speaker definitely good price tag overall value money yet test battery performance,65,44
2,1.0,overall product good charger missing package web cam bad quality,17,10
3,5.0,thanks livetre com who reviewing laptop right now like many already pointed volume low get laptop also keyboard backlight go every sec touched but there fix window start search dts open app called dts audio processing choose game mode get loud sound and keyboard backlight get always restart press enter bios look keyboard backlight power set standard mode instead power save mode backlight downside laptop trackpad click due large trackpad click feel stiff weird,119,74
4,1.0,you get option buy extended warranty buying laptop amazon also receiving laptop let buy additional year warranty within day delivery sad bought impression could buy extended warranty purchase product,60,29
5,4.0,read rating upgraded era old laptop here full review day this redmibook pro launched china february that sold yuan overpriced considering import charge last year notebook launched china india exclusive always help quality laptop launched china first come india the build quality super premium aluminium reminds grey macbook pro old laptop costing plastic also hinge broke year you open ultrabook single finger hinge robust touchpad though good little hollow sound left portion webcamera average usable video call keyboard key give little le resistance previous laptop backlight unlike complaint speaker much audible keep notebook hard surface dts audio set game mode equaliser maximised last laptop dolby advanced audio even this even front firing speaker sound headphone jack good internal component gb samsung ram dual channel mhz ssd ymtc yangtze memory company zhitai branding china own thought xiaomi cheaped here ssd outperforms kioxia micron hynix ssds par samsung see crystalmark disk test screenshot though performance write speed erratic the cpu series better series processor though le power efficient see geekbench score screenshot the review shiv tech smart youtube channel misleading probably faulty product received them not gamer still played asphalt battery minute handled well though temperature rose little battery drain cpu temperature reaching degc rest time notebook remains cool good thermal the fan noiseless mode balanced silent thermal well managed except playing high end game using heavy software like cinebench charging poor ventilation the screen beautiful you play youtube netflix compatible show hdr dolby atmos extraction kota factory the hz refresh rate though look gimmicky battery last hour normal usage you make last turning display resolution refresh rate the charging time using notebook hour the charging brick get warm keep bed get hot nothing alarming but while running microsoft team charging left side laptop get warm preferred realmebook due matte display gb variant plus port higher resolution inch screen refresh rate the laptop imported made china place nanchang also make acer laptop lenovo also client you charge laptop usb thunderbolt port xiaomi wise thing including nvidia graphic card indian variant this notebook contains single fan capable cooling intel cpu nvidia gpu the china model complaint severe throttling temperature reaching deg that con xiaomi take quality control seriously seeing number people complaining laptop make skeptical buying tough process the review realmebook flipkart complaint quality issue present here think xiaomi jumped gun announce notebook eat realmebook sale without stocking enough unit that stock problem exists notebook realmebook ample stock would preferred smaller mobile phone like universal charger sonic watt charger xiaomi the given charger rd party type cable provided little thin liking hope xiaomi announces watt universal charger like realmebook ha backlight bleeding yes exists visible pitch dark room brightness those work pitch dark room black background may face problem for every general user non issue amazon delivery problematic had order notebook nd time amazon cancelled st order day delivery even item reached delivery hub citing reason item undeliverable fragile sticker put package except sticker talking contains battery warning great option people need premium looking laptop get ultra one can bigger screen bigger battery higher refresh rate heatsink ssd better value money according trust laptop company charging lot similar spec also includes plastic made laptop went exclusive store last month settling this longevity after sale xiaomi different topic altogether donot compare macbook even variant money blindly apple still way ahead all window laptop for window great option promised window update all question welcome,967,569
6,5.0,excellent laptop productivity purpose watching movie external speaker display awesome laptop feel premium finger print unlock fast accurate superb build quality trackpad also good didn check game yet update review one month use programming purpose best laptop good display booting fast open screen sec finger print access con feel even though inch lap number key right side keyboard volume speaker le spending k camera quality good seems xiaomi compromised charger quality know durability also charger show brand name,136,78
7,4.0,ohk first all pro great display keyboard tactile nice finger print scanner awesome overall performance issue build quality great mean top line umm can say light yeah lg like damnn gaming laptop quite slim easily opened one hand let tell help lot atleast pur coffee mug open laptop fyi guy bought variant also must want use like year con trackpad quality little disappointing imean great but fell little say luke mushy something like get used heat yup let tell heat issue like even variant running like application get like warmer usuall like key section yeah expect heating extensive task like video rendering slight gaming know happened bug set facing white screen issue logging microsoft account start laptop like couple time then setup got completed speaker damnnn speaker mera phone jyada tez sound krta hai speaker would recommend get mini bluetooth speaker content consumption download app called audio relay let use phone speaker wireless speaker ohk form side,301,157
8,1.0,day turning display black light worst experience xiaomi buy product k price expect three day,39,15
9,1.0,backlight screen bleeding xiaomi notebook ultra too much disappointing want replace laptop,16,12
